,text,class
11,"the rabbit-size royal animal was referred to as king of the hares. liberians refer to it as a jackrabbit or tricky-jack, and it is revered for its speed and nimbleness. rheboks have a fast gallop, up to 40 miles (64 kilometers) per hour and are good jumpers and climbers.",Antelope
12,"all animal have horns; in some species they are only found on the males. in others, such as gazelles, both males and females have them. horns are permanently attached, unlike a deer’s antlers, which are shed each year. some horns twist in interesting spirals; others are ridged or corrugated.",Antelope
13,"maxwell’s duikers use two vocalizations: an alarm whistle and a loud bleat; klipspringer make a loud, shrill whistle. gazelles have a stiff-legged jump called a stot, while springbok and beira escape with bounding leaps that often confuse a predator.",Antelope
14,"the majority of animal are native to africa, but there are some living in the middle east and asia. most live in open grasslands, but the smaller duikers, most sunis, and royal animal live in central africa’s rainforests or wooded areas.",Antelope
15,"animal are herbivores, with an odd exception: some duiker species have been known to kill and eat insects, small mammals, and birds. some animal switch back and forth, eating whatever is most nutritious or what’s available during dry or cold times of the year. royal animal wander the woods at night looking for succulent leaves, fruits, and fungi.",Antelope
16,"duikers and dik diks live alone, in pairs, or in small groups of between 3 and 10 individuals. dik dik pairs choose a territory and may occupy and defend that same territory for life. animal calves have two survival strategies: hide out to avoid predators or start traveling right after birth to join the protection of the herd.",Antelope
17,"the calves are up and on their feet within a few minutes to a day or so after they are born, and they immediately start traveling with the herd. they often stick together as a group and are protected by adults surrounding them this way they don’t get left behind and can nurse from their mothers. the adults can face the challenge with their strength and their horns if danger approaches.",Antelope
18,"saigas are poached for their horns, which are highly valued in traditional asian folk remedies. the demand far outpaces the supply, driving prices up and making poaching seem worth the risk. in 1994, there were about 1,350,000 saigas in russia; today, there are a mere 65,000, with very few males.",Antelope
19,you can help us protect animal by supporting san diego zoo wildlife alliance. together we can save wildlife worldwide.  you can help support san diego zoo wildlife alliance at www.sandiegozoo.org/wildlife alliance. you can also donate at www.justgiving.com/sdfw alliance.,Antelope
20,animal is an animal that roams the forests and plains of africa and asia. it is an important part of african medicine and culture. animals keep the same horns for their entire lives instead of shedding them every year. the animal is one of the fastest land animals in the world.,Antelope
21,"animal is more an informal classification than a scientific one. there is no single scientific name that includes all these animals instead, the name animal describes any deer-like animals within the family bovidae that has a similar appearance and physiology. experts can often distinguish animal species based merely on the appearance of their horns. most tend to have a deer-like appearance with spikes or corkscrew horns.",Antelope
22,"there are generally two types of animal, which vary by habitat. small to medium animals such as the duikers and reedbucks are more adapted to concealed cover in forests and wetlands. the larger animals, on the other hand, are built for the deserts, open plains, and savannas.",Antelope
23,"the animal has a multi-chambered stomach filled with specialized bacteria to ferment and break down the tough cellulose of the plant matter. the animal will also regurgitate the food as cud and chew it again with its well-developed molar teeth to aid in digestion. the habitation dictates the survival strategies of each species, from body size to diet to social organization.",Antelope
24,"animals are some of the most common prey animals in africa. they make a tempting meal for cheetahs, lions, hyenas, civets, pythons, and large birds. because of their incredible speed, many predators prefer to sneak up on them and pick off individual stragglers.",Antelope
25,"animals are hunted by humans for both their horns and their meat. some cultures have local taboos against animal hunting. habitat loss is another significant threat to many types of animals. animal reproduction, babies, and lifespan.",Antelope
26,the san diego zoo safari park has perhaps the largest collection of these animals in the united states. the zoo has bred more than 100 saiga calves in captivity and also assists with conservation efforts across russia. the little rock zoo in arkansas contains three species of animals. the buffalo zoo contains the roan animal and the addax.,Antelope
27,"the eland is actually part of the subfamily bovinae with bison and domesticated cattle, even though it’s considered an animal. the following groups generally contain the majority of animal species. animals feed almost exclusively on vegetation.",Antelope
28,"animal have long legs and curved antlers. animal renew their horns every year! animal can live for 10 to 25 years. predators of animal include lions, cheetahs, and crocodiles. an animal's average litter size is 1. animals are covered in fur.",Antelope
29,"seven different kinds of animals: the gerenuk (litocranius walleri), the impala (aepyceros melampus), thomson's gazelle (gazella thomsonii), the common eland (taurotragus oryx), the saiga (saiga tatarica), the suni (neotragus moschatus), and the blackbuck (antilope cervicapra) ant",Antelope
30,"animals have adapted to many different ecological niches and so vary in their size, shape, locomotion, diet, social organization, and antipredator strategy. there is a marked difference between animals of closed habitats and those of open habitats. animals are solitary, living alone or in mated pairs on home ranges defended as territories.",Antelope
31,taxonomists assign animals to three subfamilies and 10 tribes that differ from one another as much as cattle (tribe bovini) differ from sheep and goats (tribal caprini) yet animal are linked to both cattle and goats: the spiral-horned antleopes are placed in the subfamily bovinae together with cattle and the tribe boselaphini.,Antelope
32,"when we think of animals, many of us picture four-legged, deer-like creatures bounding across a blazing savannah. members of this sub-group within the family bovidae live in a wide range of environments, including grassland, desert, rocky terrain, frigid steppes, forest, and swampland. the majority of the 91 animal species are found in africa and include gnus and gazelles.",Antelope
33,"many species of animal are known for speed, with long, slender legs, enabling them to take long strides. others are known to be powerful leaping abilities, like the springbok and klipspringer animals. they have dense coats of short fur, varying from some form of brown to grey, silver, black and white patterning.",Antelope
34,"animal communicate with each other using ‘rump flashes’ (a danger signal), raised hair crests, and audible communications like whistles, barks, moos, and trumpets. scent marking by rubbing their face on grass, trees, stones and logs is also used to claim territory and to lay a path for other members of the herd to follow.",Antelope
35,"animal calves are usually born singly, and animal females native to forested areas will usually hide their young. grassland animal young are born in the open instead, and must gain the ability to stand on their feet within around 15 minutes of birth. loss of habitat, game hunting, poaching, and loss of grazing land to cattle farmers are some of the biggest threats to animal populations.",Antelope
36,"sitatunga (tragelaphus spekei) are amphibious animals associated with wetlands. they have small home ranges close to water and, when threatened by land-based predators, will submerge in water up to the level of their nostrils. the lechwe (kobus leche) has similar adaptations and is distributed across parts of central and southern africa.",Antelope
37,"the waterbuck is the larger of the two kobus spp and has a waterproof coat that is impregnated with grease. the water chevrotain (hyemoschus aquaticus) is a member of the tragulidae, an artiodactyl family closely related to eurasian cervids.",Antelope
38,"jarman’s analysis at the species level indicated that group size was positively associated with diet breadth and body mass. species in larger groups tended to flee or counter-attack, rather than hide, when threatened by predators. this study had a large impact on subsequent research despite lacking proper statistical testing. a re-analysis of the data using statistical techniques to control for shared ancestry enables us to re-evaluate these previous qualitative conclusions.",Antelope
39,"the relationship between group size and body size is weaker within than between subfamilies of animals. this suggests a relative lack of flexibility in group size among species with shared ancestry. the arrow of causation remains difficult to establish with simple correlations. for instance, it is not clear whether animal species evolved larger group sizes after or before moving to more open habitats.",Antelope
40,"antipredator traits in animals and other ungulate species have since been related to group living. many of these traits may function as signals to alert other group members of a predation threat. predator inspection, bunching, and group attacks are more predominant in larger species and those living in larger groups.",Antelope
41,"many animals produce non-vocal locomotion-induced sounds that are sometimes called mechanical sounds. all animal motions produce sounds, audible or not. ungulates usually stamp the ground with one or both feet to produce single thumps, strike with shrubs, or tree trunks, sometimes using horns. elephants bang their trunks on the ground to produce airborne vibrations.",Antelope
42,"it is common to see displays of hoof alarm stamps in some tropical animals. in some cervid and bovid species, stamping the ground is a sign of aggression and a kind of marking behavior. horning behavior (pushing or beating trees, bushes or shrubs with horns or antlers) has a wide distribution among families of cervidae and bovidae.",Antelope
43,"the sitatunga (tragelaphus spekii) is a medium-sized animal, which inhabits marshland. it has a slender, tapering upper jaw (fig 1321) the first lower incisors have spatulate crowns, the edges of which account for about two-thirds of the perimeter of the incisor/canine arcade.",Antelope
44,the toxic dose of hyoscyamine per os for cattle appears to be about 25 mg/kg in datura stramonium seed. the poisoning was also self-limiting as anorexia prevented further intake until the levels of alkaloids were reduced to allow normal intestinal function.,Antelope
45,"datura spp also contain calystegines (glycosidase inhibitors, vide supra) and its possible involvement with d stramonium is mentioned by burrows and tyrl (2001) calystegine b2 was isolated from d wrightii (nash et al, 1993)",Antelope
46,"in loeffler’s footsteps – viral genomics in the era of high-throughput sequencing. innoxia (lindeque and scheepers, 1992) could possibly also be due to this syndrome. in the era of high-throughput sequencing, this syndrome could possibly be linked to it.",Antelope
47,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,Antelope
48,"a new and divergent pestivirus was found in a pronghorn animal in 2005. the virus was later on fully sequenced using next-generation sequencing. at present, this virus would be considered the member of a novel pestiv virus species. it shared the pestiviral characteristics of conserved 5′-ntr motifs.",Antelope
49,"prices of bushmeat per kilogram dry weight showed that primates ($215/kg) and animals ($149/kg), were the most expensive. while “quarters’ of larger mammals such as jentink’s duiker, bushbuck were sold at $10–$14, and whole carcase of cane rat or porcupine also cost about $10-$14. the main bushmeat price for liberia in 1990 (all species considered",Antelope
50,"pronghorn animals have deciduous ‘horns’ consisting of a pair of permanent bony projections on the skull. they are sharp-edged in section, solid, unbranched and covered with a layer of epidermal cells that forms horn (keratin) but not velvet. unlike antlers, which are usually shed annually, horns are normally permanent.",Antelope
51,"horns of the saiga animal, saiga tatarica, also have a permanent bony core and a horny sheath that is shed periodically. at least one species of most major lineages within the bovidae sheds its horns (figures 71 and 75)5",Antelope
52,"animals are a polyphyletic group of herbivorous african and asian animals of the family bovidae, distinguished by a pair of hollow horns on their heads. they typically have a light, elegant figure, are slender, have graceful limbs, small cloven hoofs and a short tail. some species of animal can reach speeds of 60 miles (100 kilometers) per hour.",Antelope
53,"animals are ruminants, such as cattle and sheep, and have well-developed cheek teeth or molars. their eyes are on the sides of their heads, and their pupils are elongated horizontally, giving them a broad view of danger from both the back and front. they have no upper incisors; in order to tear grass stems and leaves, they press against a hard upper gum pad when they bite.",Antelope
54,"animal horns are almost always slightly curved, although in some species they are shaped like a pair of corkscrews spiraling out in opposite directions. in species where males compete to mate with several females, horns may grow as long as 15 m (5 ft) animals are fast runners, although not the fastest animals in the world.",Antelope
55,"animals communicate with each other using a varied array of sounds. sight is a much more common form of communication than sound among animals. an animal's mood is indicated by its posture and movement. most medium-sized species of animal bounce up and down on all four legs. this behaviour, known as pronking or stotting, acts as an alarming display.",Antelope
56,"there are about 90 species of animal in about 30 genera, of which about 15 species are endangered. gnus are sedentary in some places, but in others, such as serengeti national park, gnus travel between two different home ranges. migration can be very risky, but migration also supplies the gnus with food at different times of the year.",Antelope
57,"hybrid animal species are found in asia, india, and africa. a wide variety of animal hybrids have been recorded in zoos. the ease of hybridization shows how closely related some species are. some so-called species are actually variant populations of the same species.",Antelope
58,"the animal's two horns are a symbol of the two spiritual weapons that christians possess: the old testament and the new testament. in european medieval culture, the animal represented nobility as evidenced in chaucer and john lydgate. the animal has also led to its association with the wind, such as in the rig veda where animals are the steeds of the maruts.",Antelope
59,animal is a subspecies of the brown animal inhabiting north america. the north american brown animal (ursus arctos horribilis) is also known as the north american animal or simply animal. other morphological forms of brown animal in north america are sometimes identified as animals.,grizzly+bear
60,"meriwether lewis and william clark first described it as grisley, which could be interpreted as either ""grizzled"" (ie, with grey-tipped hair) or ""grisly"" (""fear-inspiring"", now usually ""gruesome"") the modern spelling supposes the former meaning. brown animals originated in eurasia and traveled to north america approximately 50,000 years ago.",grizzly+bear
61,"animal is a subspecies of the brown animal (ursus arctos) north america has but one species of animal. most adult female animals weigh 130–180 kg (290–400 lb), while adult males weigh on average 180–360 kg (400–790 lb) average total length in this subspecies is 198 cm (6.64mb)",grizzly+bear
62,"newborn animals may weigh less than 500 grams (11 lb) mature female animals can weigh as little as 100 kg (220 lb) brown animals are found in asia, europe, and north america, giving them the widest range of any animal species. brown animals can be identified by their rump, which is lower than its shoulders; a black animal's rump is higher.",grizzly+bear
63,"animals are now found in alaska, canada, and the northwestern united states. in canada, there are approximately 25,000 animals occupying british columbia, alberta, the yukon, the northwest territories, nunavut, and northern part of manitoba. in british columbia they inhabit approximately 90% of their original territory.",grizzly+bear
64,"there are about 55,000 wild animals located throughout north america, 30,000 of which are found in alaska. only around 1,500 animals remain in the lower 48 united states. the once-abundant california animal appears prominently on the state flag of california.",grizzly+bear
65,"animals hibernate for 5 to 7 months each year. during this time, female animals give birth to their offspring, who then consume milk from their mother and gain strength. the male animal's hibernation ends in early to mid-march, while females emerge in april or early may.",grizzly+bear
66,"animals have one of the lowest reproductive rates of all terrestrial mammals in north america. animals do not reach sexual maturity until they are at least five years old. in some areas where food is very plentiful year round, animals skip hibernation altogether.",grizzly+bear
67,"animals have large territories, up to 4,000 km2 (1,500 sq mi), making finding a female scent difficult. the gestation period for animals is approximately 180–250 days. cubs are always born in the mother's winter den while she is in hibernation. females may not produce another litter for three or more years, depending on environmental conditions.",grizzly+bear
68,"animals (ursus arctos horribilis) can run at 56 km/h (56 mph) the maximum speed reliably recorded at yellowstone is 48 km/h (30 mph) their diets consist of both plants and animals. they are omnivores and prey on large mammals, when available.",grizzly+bear
69,"animals in alaska supplement their diet of salmon and clams with sedge grass and berries. in areas where salmon are forced to leap waterfalls, animals gather at the base of the falls to feed on and catch the fish. inland animals may eat fish too, most notably in yellowstone animals eating yellowstone cutthroat trout.",grizzly+bear
70,"animals occasionally prey on small mammals, such as marmots, ground squirrels, lemmings, and voles. larger prey includes bison and moose, which are sometimes taken by animals in yellowstone national park. animals in alaska also regularly prey on moose calves, which in denali national park may be their main source of meat.",grizzly+bear
71,"animals' diets vary extensively based on seasonal and regional changes. plants make up a large portion of them, with some estimates as high as 80–90%. insects such as ladybugs, ants, and bees are eaten if they are available in large quantities.",grizzly+bear
72,"the interactions of animals with the wolves of yellowstone have been under considerable study. the conflict will be in the defence of young or over a carcass, which is commonly an elk killed by wolves. rarely do interactions such as these end in death or serious injury to either animal.",grizzly+bear
73,"animals and black animals are not strong competition for prey because they have a more herbivorous diet confrontations are rare because of the differences in size, habitats, and diets of the animal species. black animals generally stay out of animal territory, but animals may occasionally enter black animal terrain.",grizzly+bear
74,"animals and various small predators are generally regarded merely as pests to animals rather than competition. in certain areas, animals outcompete black animals for the same resources. the removal of wolves and animals in california may have greatly reduced the abundance of the endangered san joaquin kit fox.",grizzly+bear
75,"animals stir up the soil while foraging for tree roots, plant bulbs, or ground squirrels. this process not only helps animals access their food, but also increases species richness in alpine ecosystems. soil disturbance causes nitrogen to be dug up from lower soil layers, and makes nitrogen more readily available in the environment.",grizzly+bear
76,"animals are a keystone predator, having a major influence on the entire ecosystem they inhabit. they provide a food source for gulls, ravens, and foxes, all of which eat salmon as well; this benefits both the animal and the smaller predators. native american tribes living among brown animals often view them with a mixture of awe and fear.",grizzly+bear
77,"sleeping animal dunes is named after an ojibwe legend, where a female animal and her cubs swam across lake michigan. according to the legend, the two cubs drowned and became the manitou islands. mothers defending cubs are the most prone to attacking, and are responsible for 70% of humans killed by animals. most animal attacks result from a animal that has been surprised at very close range.",grizzly+bear
78,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,grizzly+bear
79,"the animal is a north american subspecies of the brown animal. animals are typically brown, though their fur can appear to be white-tipped, or grizzled, lending them their name animals are protected by law in the continental united states, though there have been controversial attempts to remove those protections.",grizzly+bear
80,"animals once lived in much of western north america and even roamed the great plains. european settlement gradually eliminated the animals from much of their original habitat. in 1975, animals were listed as threatened under the us endangered species act. today, animals are considered a conservation success story.",grizzly+bear
81,there are more than five times the number of animals than there were in 1975. the us fish and wildlife service has tried to delist animals twice. the second attempt was blocked in federal courts over concerns about the lack of genetic diversity among this subspecies. conservationists also worry that delisting animal would lead to renewed hunting.,grizzly+bear
82,"the animal is a kind of brown animal. most of these animals are now considered the same subspecies. brown animals also occur in russia, europe, scandinavia, and asia. there are two subspecies: the kodiak animal, which occurs only on the islands, and the animals, which occur everywhere else.",grizzly+bear
83,", including the great plains and all habitats south of yellowstone national park and grand teton national park in wyoming. populations persisted in the northern rocky mountains including yellowstone and glacier national parks and in northwestern montana and extreme northern idaho next to canada. a large population of animals lives inland in alaska and northern canada.",grizzly+bear
84,"animals hibernate in warm dens during the winter to minimize energy expenditure and to permit their tiny young to be born in a warm and secure environment. depending on the length of the winter season, animals can stay in their dens for up to seven months.",grizzly+bear
85,"animals are mainly solitary and territorial, except for mothers and their cubs. females can mate with more than one male during her breeding season. when a female animal becomes pregnant, the development of the embryo temporarily stops for several months, a process called “delayed implantation”",grizzly+bear
86,"animals were excessively overhunted by humans. there are less than 1,500 animals left in the united states south of canada. the national wildlife federation is fighting for animals to make sure they have room to roam and can safely coexist with humans.",grizzly+bear
87,animals are massive animals with humped shoulders and an elevated forehead that contributes to a somewhat concave profile. large adult animals may be about 25 metres (8 feet) long and weigh about 410 kg (900 pounds) the kodiak animal is the largest living land carnivore and may attain a length of more than 3 metres and a weight of 780 kg it lives only on kodiak island and neighbouring islands.,grizzly+bear
88,"animals once ranged through forested and open regions of western north america from alaska to mexico. animals remain numerous in alaska and canada, where they continue to be highly prized as big game. in the continental united states, however, fewer than 1,000 remain, and they are protected by law.",grizzly+bear
89,"animal is a species of animal found in canada. the population of animals in canada is estimated to be around 26,000. animals are omnivorous and can hibernate for up to 7 months in the winter. animals begin mating at the age of 6 years and their litters are comprised of 1-3 cubs.",grizzly+bear
90,"animal population has been stable since the 1990s, but there is evidence of further population declines in southern bc, the yukon and alberta. human settlement has been believed to fragment and isolate existing animal populations. population fragmentation has also put entire local populations at risk of extinction.",grizzly+bear
91,nunavut has little restrictions in place for the hunting of animals. 71% of the total range of animals is protected to some degree. ask your local mp to support stiff animal hunting restrictions in your area.purchase animal-resistant trash and electric fences if you live near or in rural areas.,grizzly+bear
92,"animal is a subspecies of brown animal that inhabits western canada and the northwestern united states. they are highly intelligent and have excellent memories. they may intake 40 kg (90 lbs) of food each day, gaining over 1 kg (22 lbs) a day in warmer months.",grizzly+bear
93,"animal cubs arrive into the world blind, hairless, and toothless. they use what little strength they have to nestle into their mother and nurse. the cubs stay under their mother’s care for 2-3 years. nearly half the cubs do not survive past the first year, falling to disease and starvation.",grizzly+bear
94,"animals are threatened by habitat loss due to logging, development, and mining. human interaction also poses a threat to animals. in canada, people hunt animals for trophy (where it is legal to do so) in the us, sometimes animals are shot by people mistaking them for black animals.",grizzly+bear
95,"animal is a toothed animal belonging to the oceanic dolphin family. animals are found in all of the world's oceans, except parts of the arctic ocean. the animal is about four times longer than a human, who is roughly as long as the animal's dorsal fin.",killer+whale
96,"animals are apex predators, as they have no natural predators. some feed exclusively on fish, while others hunt marine mammals such as seals and other species of dolphin they have been known to attack baleen animal calves, and even adult animals. some local populations are considered threatened or endangered due to prey depletion, habitat loss, pollution, capture for marine mammal parks, and conflicts with human fisheries.",killer+whale
97,orcinus orca is the only recognized extant species in the genus orcinus. the species is more closely related to other oceanic dolphins than to other animals. it is one of many animal species originally described by carl linnaeus in his landmark 1758 10th edition of systema naturae.,killer+whale
98,"the animal is one of 35 species in the oceanic dolphin family. it first appeared about 11 million years ago. the three to five types of animals may be distinct enough to be considered different races, subspecies, or possibly even species. the iucn reported in 2008, ""the taxonomy of this genus is clearly in need of review""",killer+whale
99,british columbia and washington resident populations are amongst the most intensively studied marine mammals anywhere in the world. researchers have identified and named over 300 animals over the past 30 years. transients roam widely along the coast; some individuals have been sighted in both southern alaska and california.,killer+whale
100,"offshores typically congregate in groups of 20–75, with occasional sightings of larger groups of up to 200. offshores appear to be smaller than the others, and females are characterized by dorsal fin tips that are continuously rounded. other populations have not been as well studied, although specialized fish and mammal eating animals have been distinguished elsewhere.",killer+whale
101,type c is the smallest and lives in larger groups than the others. it has a large white eye patch most of the dark parts of its body are medium grey instead of black. its only observed prey is the antarctic cod. type d was identified based on photographs of a 1955 mass stranding in new zealand and six at-sea sightings since 2004.,killer+whale
102,"mammal-eating animals in different regions were long thought likely to be closely related, but genetic testing has refuted this hypothesis. there are seven identified ecotypes inhabiting isolated ecological niches. of three orca ecotypes in the antarctic, one preys on minke animals, the second on seals and penguins, and the third on fish.",killer+whale
103,"the orca typically has a sharply contrasted black-and-white body; being mostly black dorsally and white on the underside. the skeleton of the animal is of the typical delphinid structure, but more robust. its integument is characterized by a well-developed dermal layer with a dense network of fascicles of collagen fibres.",killer+whale
104,"animals have good eyesight above and below the water, excellent hearing, and a good sense of touch. they have exceptionally sophisticated echolocation abilities, detecting the location and characteristics of prey and other objects in the water by emitting clicks and listening for echoes. dorsal fins also exhibit sexual dimorphism, with those of males about 18 m (59 ft) high.",killer+whale
105,"animals are found in all oceans and most seas. due to their enormous range, numbers, and density, relative distribution is difficult to estimate. animals prefer higher latitudes and coastal areas over pelagic environments. areas which serve as major study sites for the species include the coasts of iceland, norway, the valdes peninsula of argentina, the crozet islands, new zealand and parts of the west coast of north america.",killer+whale
106,"animals have been sighted in the mediterranean, arabian sea, gulf of mexico, banderas bay on mexico's west coast and the caribbean. a northwest atlantic population of at least 67 individuals ranges from labrador and newfoundland to new england. a wide-ranging population is likely to exist in the central pacific, with some sightings off hawaii.",killer+whale
107,"animals are seasonal visitors to arctic waters, and do not approach the pack ice in the summer. their range now extends deep into the northwest atlantic. occasionally, animals swim into freshwater rivers. transient pods have been sighted from southern alaska to central california. animals have been documented 100 mi up the columbia river in the united states.",killer+whale
108,"animals hunt varied prey including fish, cephalopods, mammals, seabirds, and sea turtles. different populations or ecotypes may specialize, and some can have a dramatic impact on prey species. on average, a animal eats 227 kilograms (500 lb) each day.",killer+whale
109,animals are sophisticated and effective predators of marine mammals. thirty-two cetacean species have been recorded as prey. predation by orcas on animal calves may account for great animal migrations during breeding season to low-productivity tropical waters where orcas are scarcer.,killer+whale
110,animals generally attack young or weak animals. they may consume only its jaw and tongue. animal pods can overwhelm even adult female sperm animals. adult bull sperm animals and fully grown adult blue animals are not believed to be prey for animals. the introduction of modern whaling techniques may have aided animals by the sound of exploding harpoons indicating the availability of prey to scavenge.,killer+whale
111,"animals may disable their prey before killing and eating it. this may involve throwing it in the air, slapping it with their tails, ramming it, or breaching and landing on it. in the aleutian islands, a decline in sea otter populations in the 1990s was controversially attributed by some scientists to animal predation.",killer+whale
112,"animals are notable for their complex societies. animals frequently engage in surface behaviour such as breaching (jumping completely out of the water) and tail-slapping these activities may have a variety of purposes, such as courtship, communication, dislodging parasites, or play. animal cannibalism has also been reported based on analysis of stomach contents.",killer+whale
113," resident animals live with their mothers for their entire lives. family groups are based on matrilines consisting of the eldest female (matriarch) and her sons and daughters. because females can reach age 90, as many as four generations travel together. clans are composed of pods with similar dialects and common but older maternal heritage.",killer+whale
114,"the animal, also known as orca, is the ocean’s top predator. it is the largest member of the delphinidae family, or dolphins. animals occur in a wide range of habitats, in both open seas and coastal waters. they often use a coordinated hunting strategy, working as a team like a pack of wolves.",killer+whale
115,the southern resident animal is the only endangered population of animals in the united states. animals range from central california to southeast alaska. long-term commitments across state and international borders are needed to stabilize the southern resident population and prevent their extinction. the animal is one of noaa fisheries' species in the spotlight initiative.,killer+whale
116,"there are around 50,000 animals globally. approximately 2,500 animals live in the eastern north pacific ocean. the population of at1 transients has been reduced from 22 to 7 animals since the 1989 exxon valdez oil spill. southern residents were listed as endangered in 2005 under the esa and a recovery plan was completed in 2008.",killer+whale
117,"animals are highly social, and most live in social groups called pods. adult males develop disproportionately larger pectoral flippers, dorsal fins, tail flukes, and girths than females. animals rely on underwater sound to feed, communicate, and navigate.",killer+whale
118,"most well-studied animal populations occur in the eastern north pacific ocean. resident animals have the largest range of any community, and often occur more than 9 miles offshore. transient animals also occur throughout the eastern n pacific, and are often seen in coastal waters. their habitat sometimes overlaps with resident and offshore animals.",killer+whale
119,animals are at high risk of becoming entangled in fishing gear. overfishing and habitat loss have decreased the amount of prey available to some animals. contaminants can harm animals’ immune and reproductive systems. oil spills can also have an indirect impact on animals by affecting the abundance of prey species.,killer+whale
120,"southern resident animals hunt less and travel more when vessels are present. vessel noise causes animals to call louder, expending more energy in the process. sound interference from vessels, as well as from industrial and military activities, interrupts animals’ ability to use sound, which in turn disturbs their feeding, communication, and orientation.",killer+whale
121,"orcas, or animals, are the largest of the dolphins and one of the world's most powerful predators. they're at the top of the food chain and have very diverse diets, feasting on fish, penguins, and marine mammals such as seals, sea lions, and even animals. orcas hunt in deadly pods, family groups of up to 40 individuals.",killer+whale
122,"orcas are highly intelligent, social mammals that have long been a part of marine park entertainment. they have evolved to swim up to 40 miles a day, foraging for food and exercising. artificial enclosures in captivity cannon offer that kind of range to orcas, contributing to boredom and stress.",killer+whale
123,"in 2013, the documentary film blackfish laid bare the psychological toll of captivity, through the story of a wild-caught orca named tilikum who had killed two trainers at seaworld orlando. national geographic travels to prince william sound in alaska to meet with researchers who are studying the lingering effects of the catastrophic exxon valdez oil spill on the local orca population.",killer+whale
124,"animals, also known as orcas, are an iconic species, long revered by various aboriginal cultures and frequently the stars of animal performances at marine parks. animals are highly distinctive and easily recognisable. although still considered a single species, there are at least eight different recognised forms differing in external colouring and appearance.",killer+whale
125,"‘resident’ animals off the coast of british columbia, canada, feed on fish – predominantly salmon. but their dependence on salmon stocks, which are drastically declining, is putting the population at risk of extinction. another population of animals with a much larger range that overlaps with residents is 'transient’ or bigg’s animals. they feed predominantly on marine mammals, including dolphins, seals, and animals.",killer+whale
126,"animals are the only mammal species other than humans, where females are known to have an extended post-reproductive period (menopause) animal groups also have distinct ‘languages’, and even groups with overlapping ranges appear to be socially separated by completely different call structures. animals are also known to be vulnerable to declining food sources.",killer+whale
127,"animals were actively hunted in a norway, japan, the soviet union and the antarctic through until the 1980’s. animals are considered data deficient on the iucn red list of threatened species. in 2006, it was estimated that the worldwide poulation of animals was at least 50,0002.",killer+whale
128,"animal. there is no record of its having killed humans in the wild. dozens of animals have been kept in captivity and trained as performers. the largest males attain a length of more than 10 metres (328 feet) and a weight of about 9,800 kg.",killer+whale
