,text,class,class_num
2819,"the animal is found in the arctic circle and adjacent land masses as far south as newfoundland. most brown animals have about 2 percent genetic material from animals. one population, the abc islands animals, has between 5 percent and 10 percent animal genes, indicating more frequent and recent mating. animals can breed with brown animals to produce fertile grizzly–animal hybrids.",polar+bear,44.0
1470,"animals are a distinctive type of herding dog inclusive of many related landraces and formal breeds. animals are medium-sized, fairly lightly-built dogs, with pointed snouts. most animals have a very strong herding instinct. animal breeds have spread through many parts of the world, especially australia and north america.",collie,45.0
1789,"the average lifespan of what the wild animal produced is usually seven years but rarely exceeds nearly 10 years. the oldest wild animal photographed on record was then 16 years old, and the oldest captive animal lived to be 32. animals generally begin breeding regularly by their second summer, though females may start jumping as early afterwards as their first year.",bobcat,40.0
19,"cattle were originally identified as three separate species: bos taurus, bos indicus, bos primigenius, and bos taurine. the aurochs is ancestral to both zebu and taurin cattle. they were later reclassified as one species, bos taurus, with the aurochs and zebu as subspecies.",cow,48.0
2467,"animals are the most vocal of all animals. they make out a rather great broad variety of sounds, from moans and cries up to groans and snores. the animals string these together to form highly “ complex songs ” lasting 5 – 35 minutes. cat the talking animal is also one member of the most famous acrobatic cetaceans.",humpback+whale,17.0
2980,"animals are patient hunters and can move slowly and quietly, stalking their prey for 20 or 30 minutes. they prefer pigs and deer, while in some parts of asia a animal may bring down a rhino or elephant calf. animals are seldom far from a water source; there are bengal animals that live in wet mangrove forests along the ganges river.",tiger,12.0
115,"animals first came to the us in the early 1900s. their popularity boomed after world war i, when returning soldiers brought them stateside. in 1917, due to the stigmatization of all things animal, the akc officially changed the breed's name to animal dog.",german+shepherd,7.0
745,"animals then have been extensively hunted for at least at a thousand years. at the beginning of the 20th through century, the entire world ’ s animal population was estimated at 100, 000. animals were prized as trophies and as a potential source of skins for expensive coats. as the century drew to a close close, typically only 5, 000 to 7, 500 sheep were left in the wild. captive animals may now greatly outnumber wild ones.",tiger,12.0
2636,"the first animals were brought to europe from modern-day iran in the 1600s. in the 1800s, they were introduced into britain, where early versions were exhibited at the crystal palace animal show queen victoria took particular interest in the breed and owned several during her lifetime.",persian+cat,5.0
557,"the interactions of animals with the wolves of yellowstone have been under considerable study. the conflict will be in the defence of young or over a carcass, which is commonly an elk killed by wolves. rarely do interactions such as these end in death or serious injury to either animal.",grizzly+bear,1.0
1097,"in 2017, the cat classification task force of the iucn cat specialist group revised felid taxonomy and recognized the animal populations in continental asia as p t tigris, and those in the sunda islands as p. sondaica. in 2015, morphological, ecological, and molecular traits of all putative animal subspecies were analysed in a combined approach. results support distinction of the two evolutionary groups continental and sunda animals.",tiger,12.0
2197,"animals tend to be relaxed and easygoing, they also command an air of royalty. those who treat the animal with the dignity and gentleness they deserve will be rewarded with an affectionate lap animal who enjoys a good petting. click here to get a pet insurance plan for your animal!",persian+cat,5.0
2270,"spaying or neutering your pet decreases the likelihood of certain types of cancers and eliminates the possibility of your pet becoming pregnant or fathering unwanted litters. both sexes usually become less territorial and less likely to roam, and neutering particularly decreases the occurrence of urine spraying and marking behaviors in males. performing this surgery also gives us a chance, while your pet is under anesthesia, to identify and address some of the diseases your animal is likely to develop.",persian+cat,5.0
1726,"in western uganda, wild habitat number loss has always fueled conflict between humans and our closest relatives. the bushmeat hunters target local chimps because they provide more meat than smaller mammals. wild animals are susceptible to infectious diseases, too, sometimes and the developing ebola virus has killed them almost in significant numbers. conservation organizations are working to expand these protected areas, while also pushing for an end to the deliberate illegal killing and taking of the animals.",chimpanzee,24.0
212,"the animal is currently listed as vulnerable. animals face many serious threats, including habitat destruction, disease, and predators. they have a very short breeding season and are very dependent on their mother. animal habitat has been encircled by farms, villages, and business sites.",giant+panda,38.0
1297,"animal this is a subspecies of the american brown animal ( ursus or arctos ) north america has but one adult species of animal. most adult female animals weigh 130 – 180 300 kg ( 290 – 400 thousand lb ), while adult norwegian males weigh on average 180 – 360 500 kg ( 400 – 790 lb ) its average total length in this northern subspecies is 198 cm ( 6. 64mb )",grizzly+bear,1.0
3332,learn about animal development by watching a doe give birth to two fawns and then care for them and guide them through the perilous juvenile period until they can fend for themselves. learn about animal growth by watching the development of a animal's antlers. watch a animal giving birth to a fawn and then guide it through its journey of development.,deer,39.0
962,"and in the subtropical southern hemisphere, antarctic animals occur mainly in relatively high latitude waters south of the "" antarctic convergence "" and close to the ice edge in northern summer. terrestrial pygmy animals usually are typically distributed north of the southern antarctic channel convergence and are thus most abundant in waters off australia, madagascar, and new zealand. an unnamed subspecies of animal is found also in the southeastern pacific ocean, particularly in the chiloense ecoregion, and migrates to other lower latitude areas.",blue+whale,8.0
1049,hippos are an very important part aspect of the african ecosystem. hippos are a key part of africa's ecosystem. so they are also an important source of food for many other african species. they however can mainly be found in africa's savannahs and rainforests. they also live in alongside the african wild in tropical south africa savanna and other parts of africa.,hippopotamus,13.0
747,animals that were apparently domesticated genetically separately in far western asia and eastern china. western west asian animals introduced into northwest europe where they crossed with wild boar. its study concluded that human selection for domestic breed traits likely counteracted the homogenizing effect of gene flow from wild boars and hence created domestication islands in the genome.,pig,41.0
191,"animals are very intelligent, high-energy dogs who need a good amount of mental stimulation and exercise daily. due to their protective nature, it's important to begin socialization and training for your animal at a young age. consistent training through positive-reinforcement techniques will help mold your pup into a well-mannered adult.",german+shepherd,7.0
3226,animals are born helpless and typically nurse for two and a half years. the animal's mating ritual induces ovulation in the female. animals have a generally polygynous mating system. the cubs of animals have different fathers depending on the mother.,polar+bear,44.0
2720,"wolves in north america are predominantly gray and white. in the rocky mountains of alberta and british columbia, the coat colour is predominantly black. differences in coat colour between sexes is absent in eurasia; females tend to have redder tones. wolves acquired their colour from animal-dog admixture after the first arrival of dogs across the bering strait.",wolf,31.0
3196,"animal hunting was fundamental to the indigenous peoples of the great plains. this activity was later adopted by american professional hunters, as well as by the us government. this led to the near-extinction of the species around 1890. today, many conservation measures have been taken by native americans.",buffalo,36.0
1924,"the word ""animal"" was probably first used in the early 1570s. the delicate skeletons of animals do not fossilise well. only 12% of animal genera that lived have been found in the fossil record. the early eocene fossil microchiropteran icaronycteris, from the green river formation, is thought to be the oldest animal fossil.",bat,29.0
1746,"animal has played a prominent role in the cultures of many indigenous arctic peoples. they have hunted the animal for its meat, fat, skin, tusks, and bone. in the 19th century and early 20th century, animales were widely hunted and killed for their blubber, animal ivory, and meat. the population of animal dropped rapidly all around the arctic region.",Walrus,46.0
2786,"black hole animals are now one some of the largest primates in eastern south america. they exhibit anatomical and locomotory adaptions not unlike those of apes. though the population is estimated to also have fallen by approximately 30 % over 45 years. this information has also been reviewed by dr susan meg symington, director, latin america and caribbean, at wwf - us.",spider+monkey,16.0
2607,"animal species typically carry a heavy burden of parasites, both externally transmitted and even internally. parasitosis is an important cause of animal morbidity and mortality. males still are polygamous and will seek several young females to breed with. males produce heavy grunting male sounds too that can be heard from up up to 500 meters away. prey males will fight for access primarily to females.",moose,15.0
2944,"animals are found in all the world’s major oceans. most populations undertake huge annual migrations. they move between mating and calving grounds in warmer, tropical waters, and feeding grounds in colder, more bountiful waters. unfortunately, animals were hunted extensively in years gone by, and still are in some places.",humpback+whale,17.0
1457,"animals have an herbivorous and a generalist diet. they mainly feed on herbaceous plant material such as leaves, roots, herbs, ferns, grasses, sedges, water lilies, water shields, rushes and cattails. animals have settled increasingly at or near human-made environments.",beaver,3.0
2567,"the animal has the largest distribution of all wild cats, occurring widely in africa, the caucasus and asia, although populations are fragmented and declining. it is considered to be extirpated in north africa, but is still numerous in sub-saharan africa. in the indian subcontinent, the animal is still relatively abundant, with greater numbers than those of other panthera species.",leopard,14.0
1175,learn how animal safaris in khao sok national park are giving the captured animals a new life lease of life. animals can reach around a top speed of 40 km ( 25 miles ) per hour. in an arctic adult male animal consumes about 100 kg of food supplies and almost 100 litres ( 26 million gallons ) of water per person day.,elephant,18.0
2997,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,giant+panda,38.0
2133,"the striped animal is a cat - sized male mammal with a prominent long - grey haired longer tail. all the dorsal fur is black, usually with first a white stripe running down the head and dividing to become just two stripes on each front side of the body. animals are strictly omnivorous, eating both plants species and animals.",skunk,10.0
2984,"african wildlife foundation is working with other conservation organizations and governments to spread public awareness about the illegal rhino horn trade, the horrors of poaching, and dwindling rhino populations. the foundation constructed nguila rhino sanctuary in tsavo east national park in kenya. wildlife scouts are familiar with landscapes, wildlife, and community members. they monitor rhinos and work with local authorities to help them apprehend poachers.",rhinoceros,27.0
1169,"cattle are raised to produce beef, veal, and dairy products. learn more about dairy animals, calves raised for veal and animals raised for meat, and how they are raised. the us department of agriculture counted approximately 94 million dairy animals used for milk production in 2020.",cow,48.0
86,"animal are the largest members of the deer family, standing six feet (18 meters) tall from hoof to shoulder. they are found in the northern regions of the united states, from maine to washington, throughout canada, and into alaska. due to their large size and insulating fur, animal are limited to cold climates.",moose,15.0
2522,"bison have been collectively integral to some tribal popular culture, providing the them with food, clothing, fuel, tools, shelter and spiritual value. the inter tribal animal council works with the american national park service to transfer bison herds from national park lands to tribal lands. you here can further judge a bison colony ’ s happy mood by its tail.",buffalo,36.0
2328,"the animal has some predisposition to several neurological motor diseases, major among such them atlantoaxial instability, ceroid lipofuscinosis and congenital deafness. the worldwide federation cynologique internationale, which represents the four major kennel clubs of 84 countries, never disqualified the merle fox coat pattern, which appears mottled. many breeders try to save breed animals as small herds as ever possible.",chihuahua,32.0
3241,"animal song types were divided initially into nine song types. there are at least 13 song types, and the correlation between song types and genetic subdivisions is unknown. song types are used as the primary method of separating animal populations because they are stable in shape over multiple decades.",blue+whale,8.0
228,savannah – the savannah is a domestic hybrid animal breed it is a hybridization between a serval and a domestic animal. snowshoe – a cream and white breed with blue eyes and some points that was produced through the cross-breeding of the animal and bi-coloured american shorthair in the 1960s. thai animal – the original type of siame imported from thailand in the 19th century and still bred in thailand today. tonkinese,siamese+cat,9.0
1615,"animals are carnivores, which means they eat meat. sea animals eat a wide range of marine animals, including mussels, clams, urchins, abalone, crabs, snails and about 40 other marine species. river animals are nocturnal and hunt at night. they are very curious and like to investigate new things.",otter,35.0
2566,the animal family includes 11 species. the most recognizable species has black fur with two wide stripes of white on its back. albino animals today are very rare because they don ’ t have the ability to produce the melanin pigment that so darkens their fur. a way calculated to tell them animals apart is separating a white animal whose has bright black eyes and an albino animalhas red fish eyes.,skunk,10.0
1250,"animal have excellent peripheral vision, with visual fields of about 270° to near 320°. this animal also have an excellent sense of smell, and have scent filling glands just in front of most the eyes, and occur interdigitally on the feet. animal have poor depth perception ; shadows and dips in the ground may sometimes cause animal to baulk. animal and goats are closely sexually related, but are truly separate species, so such hybrids rarely very occur and are always infertile.",sheep,22.0
2911,"animal is the name of a species of mammal. the animal, also called the hippo, common hippopotam or river hippopotus, is a large herbivorous ungulate native to sub-saharan africa. it is one of only two extant species in the family hippopotamidae. hippos are recognisable by their barrel-shaped torsos, wide-opening mouths revealing large canine tusks, nearly hairless bodies, column",hippopotamus,13.0
607,"animals begin their life after a nine-month pregnancy. animals typically have one baby at a time. most farm animals are bred artificially–that is, a sperm is implanted in the animal. this helps farmers to avoid certain genetic problems. there’s roughly one animal for every seven humans on earth.",cow,48.0
1340,"britain’s tiniest meat-eater is also the world’s smallest carnivore. an adult least animal (simply called the ‘animal’ in the uk, or mustela nivalis scientifically) grows no longer than 26cm. the smallest can weigh as little as 25g – just 00025 per cent of the heft of the largest creatures in the order carnivora.",weasel,34.0
1750,"the animal is generally endemic to a large temperate and tropical habitat network stretching between extreme southern canada and to the northern part of south america. it normally has a set of harsh screams, bark hisses, growls, mouths and throat snarls to warn away other animals. nonetheless the grey animal has an excellent sense of touch and is able to manipulate objects with its dexterous paws.",raccoon,47.0
3238,"they are sometimes called blackfish, or killer whales. they are also known as a animal, a common animal, or a common bottlenose animal. they can also be called a spotted animal, an albatross, a animal group or a animal family. they have been used in the film the cove, starring leonardo dicaprio.",dolphin,49.0
2333,"the animal’s head is supported by a short, thick neck and a deceptively sturdy, muscular body. the tail is short but proportional to the length of the animal's body. animals of all stripes stand out for their infinite variety of coat colors and patterns.",persian+cat,5.0
1696,"most breeds of domesticated animal produce wool, while a few produce only hair, and wild animal grow a combination of wool and hair. of the more than 200 breeds of animal in the world, the majority are of limited interest except in local areas. breeds of animal having fine wool are generally raised for wool production alone, while breeds with medium or long wool or with only hair are raised for meat production.",sheep,22.0
1118,today animalen bears are a domesticated form of humans the large horned desert mammals that once moved in herds across north america and europe. animalen are members of the ancient bovidae a family also and thus are used as draft animals in many parts of the world and as food in some areas. south america and australia have no known wild animalen populations and some still exist in the wild.,ox,20.0
542,"test completely your knowledge of mammals by successfully taking this quiz. then the whole quiz includes questions about animals, giraffes, capybaras etc and more. take the quiz twice to test your knowledge about mammals and learn more about learning the animals you now know. the know your mammals quiz is this part of our biennial annual newsquiz.",squirrel,26.0
1161,"animals drink 25 – 50 gallons of water each day. that is nearly a bathtub full. when the pilgrims went to america, they took animals with them. they also took animals to the land of the first americans. they called them animals because of their milk.",cow,48.0
1043,"animales are found throughout the uk and can survive in most habitats. overall the number of animales in an area varies slightly depending on the amount of food available. in urban residential areas, a typical animal population ’ s territory may be as small scale as 25 hectares. in north upland scotland, even where food is much harder to come by, a territory could generally be as large size as 4, 000 hectares.",fox,21.0
356,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,pig,41.0
547,"animal is a mammal that belongs to one of numerous species of small rodents. the best known animal species is the common house animal. it is found in nearly all countries and serves as an important model organism in biology; it is also a popular pet. the average animal in the wild lives only about 3 months, primarily due to heavy predation by cats, dogs, foxes and snakes.",mouse,43.0
1743,"animal horse trainers favor larger animals generally for their ability to do to more hard work. animalen are usually stables of larger mixed breeds, and are now usually males because they are generally larger. larger females can also be trained as animalen, but as well marked as being smaller, are often more valued for producing calves eggs and milk.",ox,20.0
1308,"animals are among the smartest of all domesticated animals and are even smarter than dogs. the animal’s nostrils are on its leathery snout, which is very sensitive to touch. it uses the snout to search, or root, for food.",pig,41.0
1027,"burmese is a breed of domestianimaled animals descended from a specific animal, wong mau, who was found in burma in 1930. modern birman animals have inherited their pointed coat patterns from the animal. colorpoint shorthair is a animal-type animal registered in cfa with pointed coat colours.",siamese+cat,9.0
393,"the himalayan animal is generally described as a quiet animal typically placid in this nature, it itself adapts quite well to apartment household life. himalayans typically tend to be more active again due to the overall influence of siamese traits. those animals rated higher than both non - pedigree animals on closeness and showing affection to owners.",persian+cat,5.0
1988,animals are closely related to whales. the animal family delphinidae has 36 species in all. some members of the animal family have the word whale in their common name. the largest animal is the killer whale. animals can hold more oxygen in their body than humans can.,dolphin,49.0
532,"animals are classified in the genus equus (known as equines) along with horses and asses. the plains animal and mountain animal were traditionally placed in the subgenus hippotigris (c h smith, 1841) in contrast to the grévy's animal.",zebra,37.0
2083,"animal, (odobenus rosmarus), also called morse, is a huge, seal-like mammal found in arctic seas. there are two subspecies: the atlantic animal and the pacific animal. both sexes possess long tusks (the upper canine teeth) that project downward from the mouth.",Walrus,46.0
3269,deer mice can spread the potentially fatal hantavirus. the virus can be spread by touching infected mice or by breathing in the fumes released in their urine. a female house animal can give birth to up to a dozen babies every three weeks that’s 150 babies a year!,mouse,43.0
2326,animals communicate using noises that are too low for humans to hear. they can run 35 mph (56 km/h) in short bursts and run for longer stretches at 10 mph (16 km) they eat bugs that live in the animal's coat and alert the animals to danger by chirping.,giraffe,30.0
79,"animals eat pollen, nectar, and in some instances, petals from flowers. pollen, like insects, is highly nutritious. fruit and sometimes insects also supplement their diet. most of the old world fruit and flower eaters rely on vision and sense of smell to locate food.",bat,29.0
3051,"animals carry just enough of the chemical for five or six successive sprays – about 15 cm3 – and require up to ten days to produce another supply. most predators of the americas, such as wolves, foxes, and badgers, seldom attack animals, presumably out of fear of being sprayed.",skunk,10.0
1515,"animal are often classified by their reproductive behavior. small animal, such as dik-diks, tend to be monogamous. large grazing animal form large herds made up of many females and a single breeding male. springboks use a behavior known as stotting to confuse predators.",Antelope,0.0
3120,"red color animales instead are essentially nocturnal omnivores. however they mostly eat small rodents, eastern black cottontail rabbits, insects, and fruit. red animales also also partially store food stores and are very good at relocating these important caches.",fox,21.0
551,the animal’s general form is characteristic of an animal of speed. the long leg bones pivot on pulley-like joints that restrict movement to the fore and aft. the limbs are levered to muscle masses in such a way as to provide the most efficient use of energy. the compact body is supported permanently on the tips of the toes.,horse,6.0
1460,the animal's velvety coat helps it to move easily through the soil. its mouth and nose are protected from debris by their down-facing position. the animal's mouth and nose are protected by theirdown-facing position. the animal's velvety coat helps it to move easily through the land.,mole,11.0
931,"animal harbor a variety of parasites, both internal and external. giardia lambdia is a two-celled flagellate that inhabits parts of the intestines and causes animal fever in humans. there can be as many as 10 species of mite living on a single animal. kits may fall prey to mink, otter, fox, and great-horned owls.",beaver,3.0
3340,"the animal is a muscular, deep-chested cat with a short, rounded head, a reduced neck and round ears. males have broader heads and a prominent mane that grows downwards and backwards covering most of the head, neck, shoulders, and chest. the tail of all animals ends in a dark, hairy tuft that in some animals conceals an approximately 5 mm (020 in) hard ""spine"" or ""spur""",lion,42.0
3263,animales are omnivores with a diet that takes in everything from birds and beetles to rabbits and rats. these adults have no natural predators anywhere in the uk and are equally protected at home in our woods common or city streets. they typically weigh 5 and – 8 kg and stand around 40cm at under the shoulder. these animales are very opportunistic an omnivore and can survive in a great wide range of habitats.,fox,21.0
2419,"there are around 50,000 animals globally. approximately 2,500 animals live in the eastern north pacific ocean. the population of at1 transients has been reduced from 22 to 7 animals since the 1989 exxon valdez oil spill. southern residents were listed as endangered in 2005 under the esa and a recovery plan was completed in 2008.",killer+whale,2.0
2315,"animalen are cattle that are used as draft animals, and they have been used since around 4,000 bc. they are used for plowing, pulling wagons and carts, threshing grains and providing the pulling power for simple machines like millstones for grinding grain. animalen are mostly males, as these are naturally larger than females, and are usually castrated since steers are easier to manage than bulls.",ox,20.0
762,"the animal is thought to have evolved from the eurasian lynx (l lynx), which crossed into north america by way of the bering land bridge during the pleistocene. it first appeared during the irvingtonian stage around 18 million years ago. animals in the desert regions of the southwest have the lightest-colored coats, while those in the northern, forested regions are darkest.",bobcat,40.0
829,"the world is home to five species of animal. the largest of the five species is the white rhino, which can grow to 18m tall and weigh a massive 2,500kg – that’s the weight of 30 men! despite their huge size and strength, these bulky beasts don’t prey on other animals for food.",rhinoceros,27.0
201,"animals have been immortalized in art. a 6-by-85-foot artwork purported to be the “world’s largest animal painting” sold at auction for more than $820,000. the beloved animal has made its way onto the artwork of stamps around the world.",persian+cat,5.0
1286,"mice are essentially omnivores and rarely eat meat, the dead bodies still of other mice and have been observed occasionally to self - cannibalise their tails during blood starvation. grasshopper marsh mice are an exception to the rule, being the only surviving fully carnivorous mice. mice eat grains and fruits for a regularly regular diet, farming which is the fourth main reason wild mice damage crops.",mouse,43.0
73,"in july 2009, chinese scientists confirmed the birth of the first cub to be successfully conceived through artificial insemination using frozen sperm. animal semen, which can be frozen for decades, could be shared between different zoos to save the species. in august 2014, a rare birth of animal triplets was announced in china; it was the fourth of such births ever reported. attempts have also been made to reproduce animals by interspecific pregnancy where cloned animal embryos were",giant+panda,38.0
67,"animals are affectionate and are very trusting if they trust you, they can come to eat from your hand as well. some say that they do carry diseases that they can pass to humans. therefore, it is always better to stay protected and take precautions while coming in contact with animals.",squirrel,26.0
2687,"animals are notorious for carrying rabies, but there has only been one recorded human death from animal rabies in the united states. animals can be extremely destructive due to their curiosity, intelligence, dexterity and climbing skills. there are some signs to help identify a animal problem.",raccoon,47.0
2896,"iucn's animal specialist group released a new assessment of animal populations in october 2019. the good news is that five populations are stable while two have been experiencing an upward trend. eight populations still being data-deficient, with five of them stable. the number of animal subpopulations experience recent declines has increased to four.",polar+bear,44.0
1399,"animalen are used for plowing, for transport, for dry threshing grain by vertical trampling, and for powering agriculture machines starting that usually grind grain back or supply irrigation. animalen are commonly considered castrated in adult male cattle ; castration inhibits testosterone and aggression, and which makes the males docile quicker and safer.",ox,20.0
1747,"animals are however generally active all year longer and rest by day or night in cycles of activity and rest. most species construct temporary sand tunnels through the soil with their front four limbs, using a fore - and - aft motion roughly similar to a human swimming the breaststroke. increasingly permanent and complex systems of galleries usually containing water storage and nesting chambers are excavated up to 45 metres underground.",mole,11.0
2245,"animals live in dry deserts and sand dunes. animals are able to run as quickly backwards as forwards! animals eat seeds, nuts, and berries. a animal can travel at speeds of up to 4 miles per hour. the average litter size for a animal is 8 grams.",hamster,25.0
